OBJECT_NAME,PART,TOPIC_NAME,TOPIC_NAME_ABB,SPREAD_NUMBER,TEX_ENVIRONMENT,OBJECT_POSITION,MANUAL,OBJECT_TYPE,OBJECT_LAYOUT,X_AXIS,PLOT_OBJECTIVE,GROUP,X_LAB,Y_LAB,AREA,OBJECT_DESCRIPTION,CAPTION1,CAPTION2,CAPTION3,DIGITS,OBJECT_NOTE,YEAR_START,YEAR_END,INTERVAL,QUANTITY,ORIG_UNIT,DISS_ORIG_UNIT,DATA_KEY1,DATA_KEY2,DATA_KEY3,DATA_KEY4,DATA_KEY5,DATA_KEY6,DATA_KEY7,DATA_KEY8,DATA_KEY9,DATA_KEY10,COMMENTS
TXT.P1.IAF.1.1,2,Inadequate access to food,IAF,1,,1,,TEXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT.P1.IAF.1.2,2,Inadequate access to food,IAF,1,,2,,MINITABLE,SQUARE,,,,,,SOFIWorld + SOFIDevelopmentRegion + SOFIMacroRegion,Prevalence of undernourishment,,,,,,1992,2014,,,percent,,AV3YPOU.DISS,,,,,,,,,,
C.P1.IAF.1.3,2,Inadequate access to food,IAF,1,,3,,CHART,VERTICAL,SHORT_NAME,top_dot,Year,,,Territory,Asian countries with the highest number of people undernourished in 2012-14,,,,,,1992,2014,,million,people,,AV3YNOU,,,,,,,,,,
C.P1.IAF.1.4,2,Inadequate access to food,IAF,1,,4,,CHART,VERTICAL,SHORT_NAME,top_dot,Year,,,Territory,African countries with the highest number of people undernourished in 2012-14,,,,,,1992,2014,,million,people,,AV3YNOU,,,,,,,,,,
C.P1.IAF.1.5,2,Inadequate access to food,IAF,1,,5,,CHART,RECTANGULAR,Year,reg_uni_line,FAO_TABLE_NAME,,,SOFIMacroRegion,Number of people undernourished,,,,,,1992,2014,,million,people,,AV3YNOU,,,,,,,,,,
M.P1.IAF.1.6,2,Inadequate access to food,IAF,1,,6,,MAP,LARGE,,,,,,Territory,Prevalence of people undernourished,,,,,,2014,2014,,,percent,,AV3YPOU.DISS,,,,,,,,,,
M.P1.IAF.1.7,2,Inadequate access to food,IAF,1,,6,,MAP,LARGE,,,,,,Territory,Prevalence of people undernourished,,,,,,2014,2014,,,percent,,AV3YPOU.DISS,,,,,,,,,,
TXT.P1.UT.1.1,2,Utilization,UT,1,,1,,TEXT,,,,,,,Territory,,,,,,,,,,,,,,,,,,,,,,,
MT.P1.UT.1.2,2,Utilization,UT,1,,2,,MINITABLE,SQUARE,,,,,,Territory,Countries with the highest share of children under 5 years of age who are wasted,,,,,,1990,2012,,,percent,,SH.STA.WAST.ZS,,,,,,,,,,
C.P1.UT.1.3,2,Utilization,UT,1,,3,,CHART,VERTICAL,SHORT_NAME,top_dot,Year,,,Territory,"Percentage of children under 5 years of age who are underweight, highest 20",,,,,,2005,2012,7,,percent,,SH.STA.MALN.ZS,,,,,,,,,,
C.P1.UT.1.4,2,Utilization,UT,1,,4,,CHART,VERTICAL,SHORT_NAME,top_dot,Year,,,Territory,"Percentage of children under 5 years of age who are stunted, highest 20",,,,,,2005,2012,7,,percent,,SH.STA.STNT.ZS,,,,,,,,,,
MT.P1.UT.1.5,2,Utilization,UT,1,,5,,MINITABLE,SQUARE,,,,,,Territory,Countries with the lowest vitamin A supplementation coverage rate among children ages 6-59 months,,,,,,1990,2012,,,percent,,VITAMINA,,,,,,,,,,
MT.P1.UT.1.6,2,Utilization,UT,1,,6,,MINITABLE,SQUARE,,,,,,Territory,Countries with the highest prevalence of iodine deficiency,,,,,,1990,2012,,,percent,,IODINE,,,,,,,,,,
M.P1.UT.1.7,2,Utilization,UT,1,,7,,MAP,LARGE,,,,,,Territory,Prevalence of anemia among children under 5 years of age,,,,,,2011,2011,,,percent,,SH.ANM.CHLD.ZS,,,,,,,,,,
TXT.P1.OO.1.1,2,Obesity/Overweight,OO,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.P1.OO.1.2,2,Obesity/Overweight,OO,1,,2,,CHART,SQUARE,FAO_TABLE_NAME,reg_uni_bar,Year,,,SOFIWorld + SOFIDevelopmentRegion,Prevalence of over-acquisition,,,,,,1992,2014,,,percent,,AV3YPCO.DISS,,,,,,,,,,
C.P1.OO.1.3,2,Obesity/Overweight,OO,1,,3,,CHART,VERTICAL,SHORT_NAME,top_dot,Year,,,Territory,"Prevalence of overweight among children under 5, countries with the highest values, male",,,,,,2005,2012,7,,percent,,SH.STA.OWGH.MA.ZS,,,,,,,,,,
C.P1.OO.1.4,2,Obesity/Overweight,OO,1,,4,,CHART,VERTICAL,SHORT_NAME,top_dot,Year,,,Territory,"Prevalence of overweight among children under 5, countries with the highest values, female",,,,,,2005,2012,7,,percent,,SH.STA.OWGH.FE.ZS,,,,,,,,,,
C.P1.OO.1.5,2,Obesity/Overweight,OO,1,,5,,CHART,RECTANGULAR,Year,reg_uni_line,FAO_TABLE_NAME,,,SOFIMacroRegion,Prevalence of over-acquisition,,,,,,1992,2014,,,percent,,AV3YPCO.DISS,,,,,,,,,,
M.P1.OO.1.6,2,Obesity/Overweight,OO,1,,6,,MAP,LARGE,,,,,,Territory,"Prevalence of overweight and obesity, adults",,,,,,2008,2008,,,percent,,N.A.OO.PCT,,,,,,,,,,
TXT.P1.DES.1.1,3,Dietary energy supply,DES,1,,1,,TEXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.P1.DES.1.2,3,Dietary energy supply,DES,1,,2,,CHART,SQUARE,FAO_TABLE_NAME,multi_stack_bar,,,,SOFIWorld + SOFIDevelopmentRegion,Share of DES,,,,,,2011,2011,,,percent,,FBS.SDES.CRLS.PCT3D,FBS.SDES.SR.PCT3D,FBS.SDES.SS.PCT3D,FBS.SDES.MO.PCT3D,FBS.SDES.VOAF.PCT3D,FBS.SDES.MEB.PCT3D,,,,,
C.P1.DES.1.3,3,Dietary energy supply,DES,1,,3,,CHART,VERTICAL,SHORT_NAME,top_dot,Year,,,Territory,"Dietary energy supply, top 20 in 2011",,,,,,1992,2011,,,kcal/cap/day,,AV3YDES.DISS,,,,,,,,,,
C.P1.DES.1.4,3,Dietary energy supply,DES,1,,4,,CHART,VERTICAL,SHORT_NAME,bot_dot,Year,,,Territory,"Dietary energy supply, bottom 20 in 2011",,,,,,1992,2011,,,kcal/cap/day,,AV3YDES.DISS,,,,,,,,,,
C.P1.DES.1.5,3,Dietary energy supply,DES,1,,5,,CHART,RECTANGULAR,Year,reg_uni_line,FAO_TABLE_NAME,,,SOFIMacroRegion,Dietary energy supply,,,,,,1992,2011,,,kcal/cap/day,,AV3YDES.DISS,,,,,,,,,,
M.P1.DES.1.6,3,Dietary energy supply,DES,1,,6,,MAP,LARGE,,,,,,Territory,Dietary energy supply,,,,,,2011,2011,,,kcal/cap/day,,AV3YDES.DISS,,,,,,,,,,
TXT.P1.CRLS.1.1,3,Cereals,CRLS,1,,1,,TEXT,SQUARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.P1.CRLS.1.2,3,Cereals,CRLS,1,,2,,CHART,SQUARE,FAO_TABLE_NAME,reg_uni_bar,Year,,,SOFIWorld + SOFIDevelopmentRegion,Food supply of cereals,,,,,,1992,2011,,,kcal/cap/day,,FBS.PCS.CRLS.KCD3D,,,,,,,,,,
C.P1.CRLS.1.3,3,Cereals,CRLS,1,,3,,CHART,VERTICAL,SHORT_NAME,top_dot,Year,,,Territory,"Food supply of cereals, top 20 in 2011",,,,,,1992,2011,,,kcal/cap/day,,FBS.PCS.CRLS.KCD3D,,,,,,,,,,
C.P1.CRLS.1.4,3,Cereals,CRLS,1,,4,,CHART,VERTICAL,SHORT_NAME,bot_dot,Year,,,Territory,"Food supply of cereals, bottom 20 in 2011",,,,,,1992,2011,,,kcal/cap/day,,FBS.PCS.CRLS.KCD3D,,,,,,,,,,
C.P1.CRLS.1.5,3,Cereals,CRLS,1,,5,,CHART,RECTANGULAR,Year,reg_uni_line,FAO_TABLE_NAME,,,SOFIMacroRegion,Food supply of cereals,,,,,,1992,2011,,,kcal/cap/day,,FBS.PCS.CRLS.KCD3D,,,,,,,,,,
M.P1.CRLS.1.6,3,Cereals,CRLS,1,,6,,MAP,LARGE,,,,,,Territory,Share of DES from cereals,,,,,,2011,2011,,,percent,,FBS.SDES.CRLS.PCT3D,,,,,,,,,,
TXT.P1.SR.1.1,3,Starchy roots,SR,1,,1,,TEXT,SQUARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.P1.SR.1.2,3,Starchy roots,SR,1,,2,,CHART,SQUARE,FAO_TABLE_NAME,reg_uni_bar,Year,,,SOFIWorld + SOFIDevelopmentRegion,Food supply of starchy roots,,,,,,1992,2011,,,kcal/cap/day,,FBS.PCS.SR.KCD3D,,,,,,,,,,
C.P1.SR.1.3,3,Starchy roots,SR,1,,3,,CHART,VERTICAL,SHORT_NAME,top_dot,Year,,,Territory,"Food supply of starchy roots, top 20 in 2011",,,,,,1992,2011,,,kcal/cap/day,,FBS.PCS.SR.KCD3D,,,,,,,,,,
C.P1.SR.1.4,3,Starchy roots,SR,1,,4,,CHART,VERTICAL,SHORT_NAME,bot_dot,Year,,,Territory,"Food supply of starchy roots, bottom 20 in 2011",,,,,,1992,2011,,,kcal/cap/day,,FBS.PCS.SR.KCD3D,,,,,,,,,,
C.P1.SR.1.5,3,Starchy roots,SR,1,,5,,CHART,RECTANGULAR,Year,reg_uni_line,FAO_TABLE_NAME,,,SOFIMacroRegion,Food supply of starchy roots,,,,,,1992,2011,,,kcal/cap/day,,FBS.PCS.SR.KCD3D,,,,,,,,,,
M.P1.SR.1.6,3,Starchy roots,SR,1,,6,,MAP,LARGE,,,,,,Territory,Share of DES from starchy roots,,,,,,2011,2011,,,percent,,FBS.SDES.SR.PCT3D,,,,,,,,,,
TXT.P1.SS.1.1,3,Sugar and sweeteners,SS,1,,1,,TEXT,SQUARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.P1.SS.1.2,3,Sugar and sweeteners,SS,1,,2,,CHART,SQUARE,FAO_TABLE_NAME,reg_uni_bar,Year,,,SOFIWorld + SOFIDevelopmentRegion,Food supply of sugar and sweeteners,,,,,,1992,2011,,,kcal/cap/day,,FBS.PCS.SS.KCD3D,,,,,,,,,,
C.P1.SS.1.3,3,Sugar and sweeteners,SS,1,,3,,CHART,VERTICAL,SHORT_NAME,top_dot,Year,,,Territory,"Food supply of sugar and sweeteners, top 20 in 2011",,,,,,1992,2011,,,kcal/cap/day,,FBS.PCS.SS.KCD3D,,,,,,,,,,
C.P1.SS.1.4,3,Sugar and sweeteners,SS,1,,4,,CHART,VERTICAL,SHORT_NAME,bot_dot,Year,,,Territory,"Food supply of sugar and sweeteners, bottom 20 in 2011",,,,,,1992,2011,,,kcal/cap/day,,FBS.PCS.SS.KCD3D,,,,,,,,,,
C.P1.SS.1.5,3,Sugar and sweeteners,SS,1,,5,,CHART,RECTANGULAR,Year,reg_uni_line,FAO_TABLE_NAME,,,SOFIMacroRegion,Food supply of sugar and sweeteners,,,,,,1992,2011,,,kcal/cap/day,,FBS.PCS.SS.KCD3D,,,,,,,,,,
M.P1.SS.1.6,3,Sugar and sweeteners,SS,1,,6,,MAP,LARGE,,,,,,Territory,Share of DES from sugar and sweeteners,,,,,,2011,2011,,,percent,,FBS.SDES.SS.PCT3D,,,,,,,,,,
TXT.P1.FV.1.1,3,Fruit and vegetables,FV,1,,1,,TEXT,SQUARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.P1.FV.1.2,3,Fruit and vegetables,FV,1,,2,,CHART,SQUARE,FAO_TABLE_NAME,reg_uni_bar,Year,,,SOFIWorld + SOFIDevelopmentRegion,Food supply of fruit and vegetables,,,,,,1992,2011,,,kcal/cap/day,,FBS.PCS.FV.KCD3D,,,,,,,,,,
C.P1.FV.1.3,3,Fruit and vegetables,FV,1,,3,,CHART,VERTICAL,SHORT_NAME,top_dot,Year,,,Territory,"Food supply of fruit and vegetables, top 20 in 2011",,,,,,1992,2011,,,kcal/cap/day,,FBS.PCS.FV.KCD3D,,,,,,,,,,
C.P1.FV.1.4,3,Fruit and vegetables,FV,1,,4,,CHART,VERTICAL,SHORT_NAME,bot_dot,Year,,,Territory,"Food supply of fruit and vegetables, bottom 20 in 2011",,,,,,1992,2011,,,kcal/cap/day,,FBS.PCS.FV.KCD3D,,,,,,,,,,
C.P1.FV.1.5,3,Fruit and vegetables,FV,1,,5,,CHART,RECTANGULAR,Year,reg_uni_line,FAO_TABLE_NAME,,,SOFIMacroRegion,Food supply of fruit and vegetables,,,,,,1992,2011,,,kcal/cap/day,,FBS.PCS.FV.KCD3D,,,,,,,,,,
M.P1.FV.1.6,3,Fruit and vegetables,FV,1,,6,,MAP,LARGE,,,,,,Territory,Share of DES from fruit and vegetables,,,,,,2011,2011,,,percent,,FBS.SDES.FV.PCT3D,,,,,,,,,,
TXT.P1.MEAT.1.1,3,Meat,MEAT,1,,1,,TEXT,SQUARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.P1.MEAT.1.2,3,Meat,MEAT,1,,2,,CHART,SQUARE,FAO_TABLE_NAME,reg_uni_bar,Year,,,SOFIWorld + SOFIDevelopmentRegion,Food supply of meat,,,,,,1992,2011,,,kcal/cap/day,,FBS.PCS.MEAT.KCD3D,,,,,,,,,,
C.P1.MEAT.1.3,3,Meat,MEAT,1,,3,,CHART,VERTICAL,SHORT_NAME,top_dot,Year,,,Territory,"Food supply of meat, top 20 in 2011",,,,,,1992,2011,,,kcal/cap/day,,FBS.PCS.MEAT.KCD3D,,,,,,,,,,
C.P1.MEAT.1.4,3,Meat,MEAT,1,,4,,CHART,VERTICAL,SHORT_NAME,bot_dot,Year,,,Territory,"Food supply of meat, bottom 20 in 2011",,,,,,1992,2011,,,kcal/cap/day,,FBS.PCS.MEAT.KCD3D,,,,,,,,,,
C.P1.MEAT.1.5,3,Meat,MEAT,1,,5,,CHART,RECTANGULAR,Year,reg_uni_line,FAO_TABLE_NAME,,,SOFIMacroRegion,Food supply of meat,,,,,,1992,2011,,,kcal/cap/day,,FBS.PCS.MEAT.KCD3D,,,,,,,,,,
M.P1.MEAT.1.6,3,Meat,MEAT,1,,6,,MAP,LARGE,,,,,,Territory,Share of DES from meat,,,,,,2011,2011,,,percent,,FBS.SDES.MEAT.PCT3D,,,,,,,,,,
TXT.P1.OCRPS.1.1,3,Oilcrops,OCRPS,1,,1,,TEXT,SQUARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.P1.OCRPS.1.2,3,Oilcrops,OCRPS,1,,2,,CHART,SQUARE,FAO_TABLE_NAME,reg_uni_bar,Year,,,SOFIWorld + SOFIDevelopmentRegion,Food supply of oilcrops,,,,,,1992,2011,,,kcal/cap/day,,FBS.PCS.OCRPS.KCD3D,,,,,,,,,,
C.P1.OCRPS.1.3,3,Oilcrops,OCRPS,1,,3,,CHART,VERTICAL,SHORT_NAME,top_dot,Year,,,Territory,"Food supply of oilcrops, top 20 in 2011",,,,,,1992,2011,,,kcal/cap/day,,FBS.PCS.OCRPS.KCD3D,,,,,,,,,,
C.P1.OCRPS.1.4,3,Oilcrops,OCRPS,1,,4,,CHART,VERTICAL,SHORT_NAME,bot_dot,Year,,,Territory,"Food supply of oilcrops, bottom 20 in 2011",,,,,,1992,2011,,,kcal/cap/day,,FBS.PCS.OCRPS.KCD3D,,,,,,,,,,
C.P1.OCRPS.1.5,3,Oilcrops,OCRPS,1,,5,,CHART,RECTANGULAR,Year,reg_uni_line,FAO_TABLE_NAME,,,SOFIMacroRegion,Food supply of oilcrops,,,,,,1992,2011,,,kcal/cap/day,,FBS.PCS.OCRPS.KCD3D,,,,,,,,,,
M.P1.OCRPS.1.6,3,Oilcrops,OCRPS,1,,6,,MAP,LARGE,,,,,,Territory,Share of DES from oilcrops,,,,,,2011,2011,,,percent,,FBS.SDES.OCRPS.PCT3D,,,,,,,,,,
TXT.P1.FISH.1.1,3,Fish,FISH,1,,1,,TEXT,SQUARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.P1.FISH.1.2,3,Fish,FISH,1,,2,,CHART,SQUARE,FAO_TABLE_NAME,reg_uni_bar,Year,,,SOFIWorld + SOFIDevelopmentRegion,Food supply of fish,,,,,,1992,2011,,,kcal/cap/day,,FBS.PCS.FISH.KCD3D,,,,,,,,,,
C.P1.FISH.1.3,3,Fish,FISH,1,,3,,CHART,VERTICAL,SHORT_NAME,top_dot,Year,,,Territory,"Food supply of fish, top 20 in 2011",,,,,,1992,2011,,,kcal/cap/day,,FBS.PCS.FISH.KCD3D,,,,,,,,,,
C.P1.FISH.1.4,3,Fish,FISH,1,,4,,CHART,VERTICAL,SHORT_NAME,bot_dot,Year,,,Territory,"Food supply of fish, bottom 20 in 2011",,,,,,1992,2011,,,kcal/cap/day,,FBS.PCS.FISH.KCD3D,,,,,,,,,,
C.P1.FISH.1.5,3,Fish,FISH,1,,5,,CHART,RECTANGULAR,Year,reg_uni_line,FAO_TABLE_NAME,,,SOFIMacroRegion,Food supply of fish,,,,,,1992,2011,,,kcal/cap/day,,FBS.PCS.FISH.KCD3D,,,,,,,,,,
M.P1.FISH.1.6,3,Fish,FISH,1,,6,,MAP,LARGE,,,,,,Territory,Share of DES from fish,,,,,,2011,2011,,,percent,,FBS.SDES.FISH.PCT3D,,,,,,,,,,
TXT.P1.MEB.1.1,3,Milk - excluding butter,MEB,1,,1,,TEXT,SQUARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.P1.MEB.1.2,3,Milk - excluding butter,MEB,1,,2,,CHART,SQUARE,FAO_TABLE_NAME,reg_uni_bar,Year,,,SOFIWorld + SOFIDevelopmentRegion,Food supply of milk,,,,,,1992,2011,,,kcal/cap/day,,FBS.PCS.MEB.KCD3D,,,,,,,,,,
C.P1.MEB.1.3,3,Milk - excluding butter,MEB,1,,3,,CHART,VERTICAL,SHORT_NAME,top_dot,Year,,,Territory,"Food supply of milk, top 20 in 2011",,,,,,1992,2011,,,kcal/cap/day,,FBS.PCS.MEB.KCD3D,,,,,,,,,,
C.P1.MEB.1.4,3,Milk - excluding butter,MEB,1,,4,,CHART,VERTICAL,SHORT_NAME,bot_dot,Year,,,Territory,"Food supply of milk, bottom 20 in 2011",,,,,,1992,2011,,,kcal/cap/day,,FBS.PCS.MEB.KCD3D,,,,,,,,,,
C.P1.MEB.1.5,3,Milk - excluding butter,MEB,1,,5,,CHART,RECTANGULAR,Year,reg_uni_line,FAO_TABLE_NAME,,,SOFIMacroRegion,Food supply of milk,,,,,,1992,2011,,,kcal/cap/day,,FBS.PCS.MEB.KCD3D,,,,,,,,,,
M.P1.MEB.1.6,3,Milk - excluding butter,MEB,1,,6,,MAP,LARGE,,,,,,Territory,Share of DES from milk,,,,,,2011,2011,,,percent,,FBS.SDES.MEB.PCT3D,,,,,,,,,,
C.P1.HS.1.1,3,Household surveys,HS,1,,1,,CHART,VERTICAL,SHORT_NAME,top_dot,,,,Territory,Average dietary energy (available for) consumption,,,,,,1996,2009,13,thousand,kcal/cap/day,,HS.PCS.RDEC.KCD,HS.PCS.UDEC.KCD,,,,,,,,,
C.P1.HS.1.2,3,Household surveys,HS,1,,2,,CHART,VERTICAL,SHORT_NAME,top_dot,,,,Territory,Average dietary energy (available for) consumption,,,,,,1996,2009,13,thousand,kcal/cap/day,,HS.PCS.FDEC.KCD,HS.PCS.MDEC.KCD,,,,,,,,,
C.P1.HS.1.3,3,Household surveys,HS,1,,3,,CHART,VERTICAL,SHORT_NAME,top_dot,,,,Territory,Protein contribution to dietary energy (available for) consumption,,,,,,1996,2009,13,,percent,,HS.NCDEC.RPRT.PCT,HS.NCDEC.UPRT.PCT,,,,,,,,,
C.P1.HS.1.4,3,Household surveys,HS,1,,4,,CHART,VERTICAL,SHORT_NAME,top_dot,,,,Territory,Protein contribution to dietary energy (available for) consumption,,,,,,1996,2009,13,,percent,,HS.NCDEC.FPRT.PCT,HS.NCDEC.MPRT.PCT,,,,,,,,,
C.P1.HS.1.5,3,Household surveys,HS,1,,5,,CHART,VERTICAL,SHORT_NAME,top_dot,,,,Territory,Fat contribution to dietary energy (available for) consumption,,,,,,1996,2009,13,,percent,,HS.NCDEC.RFAT.PCT,HS.NCDEC.UFAT.PCT,,,,,,,,,
C.P1.HS.1.6,3,Household surveys,HS,1,,6,,CHART,VERTICAL,SHORT_NAME,top_dot,,,,Territory,Fat contribution to dietary energy (available for) consumption,,,,,,1996,2009,13,,percent,,HS.NCDEC.FFAT.PCT,HS.NCDEC.MFAT.PCT,,,,,,,,,
C.P1.HS.1.7,3,Household surveys,HS,1,,7,,CHART,VERTICAL,SHORT_NAME,top_dot,,,,Territory,Carbohydrate contribution to dietary energy (available for) consumption,,,,,,1996,2009,13,,percent,,HS.NCDEC.RCRB.PCT,HS.NCDEC.UCRB.PCT,,,,,,,,,
C.P1.HS.1.8,3,Household surveys,HS,1,,8,,CHART,VERTICAL,SHORT_NAME,top_dot,,,,Territory,Carbohydrate contribution to dietary energy (available for) consumption,,,,,,1996,2009,13,,percent,,HS.NCDEC.FCRB.PCT,HS.NCDEC.MCRB.PCT,,,,,,,,,
C.P1.HS.1.9,3,Household surveys,HS,1,,9,,CHART,VERTICAL,SHORT_NAME,top_dot,,,,Territory,Share of animal protein in total protein (available for) consumption,,,,,,1996,2009,13,,percent,,HS.SPC.RAP.PCT,HS.SPC.UAP.PCT,,,,,,,,,
