DATA_KEY,SERIES_NAME,SERIES_NAME_SHORT,QUANTITY,ORIG_UNIT,INFO,OWNER,SOURCE,DATA_TYPE,SQL_DOMAIN_CODE,SQL_ELEMENT_CODE,SQL_ITEM_CODE,WDINAME,COMMENTS,TOPIC
ODA.TOTDON.COM.USD.NO,Total ODA donated (US$),Total ODA donated (US$),million,US$,See 'Official Development Assistance',"The EAA dataset is compiled from OECD (as given included in the OECD internet home-page), DAC Reports, Annual Reports of the World Bank and data received from other organizations on regional development. The data are processed by following a series of steps such as analyses, including systematic checking and verifications at various stages for enhancing the quality of the data prior to dissemination on FAOSTAT.","FAO, Statistics Division",raw,,,,,,oda
CS.GCS.TOT.USD.NO,Gross capital stock (constant 2005 prices),Gross capital stock,million,US$,"The estimate of capital stock in agriculture refers to a value that is attached to the total physical capital capacity available for repeated use in the production of other goods, in existence at specific point in time in the economy of agriculture sector. The estimates of investment in agriculture have indirectly been derived by the FAO FAO, Statistics Division using physical data on livestock, tractors, irrigated land and land under permanent crops etc., and the average prices for the year 1995. These data enabled the derivation of the capital stock in agriculture which is the gross, and the annual change in the latter is taken to reflect investment in agriculture.",FAO,"FAO, Statistics Division (FAOSTAT)",raw,CS,6115,23005,,,capital stock
CS.GCS.TOT.USD.GR7,Gross capital stock annual growth (percent),Gross capital stock,,percent,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,capital stock
CS.GCS.TOT.USD.GR10,Gross capital stock annual growth (percent),Gross capital stock,,percent,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,capital stock
CS.GCS.LD.USD.NO,"Gross capital stock, land development (constant 2005 prices)",Land development,million,US$,See 'Gross capital stock (constant 2005 prices)'.,FAO,"FAO, Statistics Division (FAOSTAT)",raw,CS,6115,23006,,,capital stock
CS.GCS.LD.USD.SH,"Gross capital stock, land development (share of gross capital stock)",Land development,,percent,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,capital stock
CS.GCS.LFA.USD.NO,"Gross capital stock, livestock fixed assets (constant 2005 prices)",Livestock fixed assets,million,US$,See 'Gross capital stock (constant 2005 prices)'.,FAO,"FAO, Statistics Division (FAOSTAT)",raw,CS,6115,23007,,,capital stock
CS.GCS.LFA.USD.SH,"Gross capital stock, livestock fixed assets (share of gross capital stock)",Livestock fixed assets,,percent,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,capital stock
CS.GCS.LI.USD.NO,"Gross capital stock, livestock inventory (constant 2005 prices)",Livestock inventory,million,US$,See 'Gross capital stock (constant 2005 prices)'.,FAO,"FAO, Statistics Division (FAOSTAT)",raw,CS,6115,23008,,,capital stock
CS.GCS.LI.USD.SH,"Gross capital stock, livestock inventory (share of gross capital stock)",Livestock inventory,,percent,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,capital stock
CS.GCS.ME.USD.NO,"Gross capital stock, machinery & equipment (constant 2005 prices)",Machinery and equipment,million,US$,See 'Gross capital stock (constant 2005 prices)'.,FAO,"FAO, Statistics Division (FAOSTAT)",raw,CS,6115,23009,,,capital stock
CS.GCS.ME.USD.SH,"Gross capital stock, machinery & equipment (share of gross capital stock)",Machinery and equipment,,percent,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,capital stock
CS.GCS.PC.USD.NO,"Gross capital stock, plantation crops (constant 2005 prices)",Plantation crops,million,US$,See 'Gross capital stock (constant 2005 prices)'.,FAO,"FAO, Statistics Division (FAOSTAT)",raw,CS,6115,23010,,,capital stock
CS.GCS.PC.USD.SH,"Gross capital stock, plantation crops (share of gross capital stock)",Plantation crops,,percent,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,capital stock
CS.GCS.SL.USD.NO,"Gross capital stock, structures for livestock (constant 2005 prices)",Structures for livestock,million,US$,See 'Gross capital stock (constant 2005 prices)'.,FAO,"FAO, Statistics Division (FAOSTAT)",raw,CS,6115,23011,,,capital stock
CS.GCS.SL.USD.SH,"Gross capital stock, structures for livestock (share of gross capital stock)",Structures for livestock,,percent,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,capital stock
IG.AFFH.STOCGG.USD.SH,"Agriculture, Forestry, Fishing, and Hunting, Cash (Budg. Cen. Govt.) (share of total outlays)",,,percent,See 'Government expenditure'.,FAO,"FAO, Statistics Division (FAOSTAT)",raw,IG,6111,23030,,,government expenditures
IG.AFFH.STONCGG.USD.SH,"Agriculture, Forestry, Fishing, and Hunting, Noncash (Budg. Cen. Govt.)  (share of total outlays)",,,percent,See 'Government expenditure'.,FAO,"FAO, Statistics Division (FAOSTAT)",raw,IG,6111,23031,,,government expenditures
IG.AFFH.SAGCGG.USD.SH,"Agriculture, Forestry, Fishing, and Hunting, Cash (Budg. Cen. Govt.) (share of agricultural GDP)",,,percent,See 'Government expenditure'.,FAO,"FAO, Statistics Division (FAOSTAT)",raw,IG,6106,23030,,,government expenditures
IG.AFFH.SAGNCGG.USD.SH,"Agriculture, Forestry, Fishing, and Hunting, Noncash (Budg. Cen. Govt.)  (share of agricultural GDP)",,,percent,See 'Government expenditure'.,FAO,"FAO, Statistics Division (FAOSTAT)",raw,IG,6106,23031,,,government expenditures
IG.EP.STOCGG.USD.SH,"Environmental Protection, Cash (Budg. Cen. Govt.) (share of total outlays)",,,percent,See 'Government expenditure'.,FAO,"FAO, Statistics Division (FAOSTAT)",raw,IG,6111,23036,,,government expenditures
IG.EP.STONCGG.USD.SH,"Environmental Protection, Noncash (Budg. Cen. Govt.)  (share of total outlays)",,,percent,See 'Government expenditure'.,FAO,"FAO, Statistics Division (FAOSTAT)",raw,IG,6111,23037,,,government expenditures
FDI.AHFF.IF.USD.NO,"FDI inward flows - Agriculture, hunting, forestry, fishing (current USD)",,million,US$,"Inflows of foreign direct investment (FDI) in agriculture, hunting, forestry, and fishing.",UNCTAD,Foreign agriculture investment database,raw,,,,,,fdi
FDI.FBT.IF.USD.NO,"FDI inward flows - Food, beverages, tobacco (current USD)",,million,US$,"Inflows of foreign direct investment (FDI) in food, beverages, tobacco.",UNCTAD,Foreign agriculture investment database,raw,,,,,,fdi
FDI.TOT.IF.USD.NO,"FDI inward flows - Agriculture, hunting, forestry, fishing + Food, beverages, tobacco (current USD)",,million,US$,"Inflows of foreign direct investment (FDI) in agriculture, hunting, forestry, and fishing + food, beverages, tobacco.",UNCTAD,Foreign agriculture investment database,raw,,,,,,fdi
ASTI.TPE.AR.USD.SH,Total public agricultural research expenditures (share of agricultural GDP),,,percent,Total public agricultural research expenditures as share of agricultural GDP.,"ASTI 2012, Eurostat 2012, OECD, 2012, and various country-level secondary sources (see for more information on data sources and estimations on http://www.asti.cgiar.org/pdf/CountrySourcesEstimations.pdf). Agricultural GDP from World Bank (2012).",ASTI,raw,,,,,,innovation
ASTI.TPE.ARD.USD.NO,Total public agricultural expenditures in R & D (2005 PPP US$),,million,2005 PPP US$,Total public agricultural expenditures in R & D.,"ASTI 2012, Eurostat 2012, OECD, 2012, and various country-level secondary sources (see for more information on data sources and estimations on http://www.asti.cgiar.org/pdf/CountrySourcesEstimations.pdf). Agricultural GDP from World Bank (2012).",ASTI,raw,,,,,,innovation
IT.CEL.SETS,Mobile cellular subscriptions (subscriptions),Mobile cellular subscriptions,,subscriptions,"Mobile cellular telephone subscriptions are subscriptions to a public mobile telephone service using cellular technology, which provide access to the public switched telephone network. Post-paid and prepaid subscriptions are included.","International Telecommunication Union, World Telecommunication/ICT Development Report and database, and World Bank estimates.",World Bank (WDI),raw,,,,IT.CEL.SETS,,innovation
IT.CEL.SETS.GR12,Mobile cellular subscriptions annual growth (percent),Mobile cellular subscriptions,,percent,,,World Bank (WDI),processed,,,,,,innovation
IT.NET.BBND.P2,Fixed broadband Internet subscribers (per 100 people),Internet,,subscribers per 100 people,"Fixed broadband Internet subscribers are the number of broadband subscribers with a digital subscriber line, cable modem, or other high-speed technology.","International Telecommunication Union, World Telecommunication/ICT Development Report and database, and World Bank estimates.",World Bank (WDI),raw,,,,IT.NET.BBND.P2,,innovation
IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),Mobile cellulars,,subscribers per 100 people,"Mobile cellular telephone subscriptions are subscriptions to a public mobile telephone service using cellular technology, which provide access to the public switched telephone network. Post-paid and prepaid subscriptions are included.","International Telecommunication Union, World Telecommunication/ICT Development Report and database, and World Bank estimates.",World Bank (WDI),raw,,,,IT.CEL.SETS.P2,,innovation
IT.MLT.MAIN.P2,Telephone lines (per 100 people),Telephone lines,,subscribers per 100 people,Telephone lines are fixed telephone lines that connect a subscriber's terminal equipment to the public switched telephone network and that have a port on a telephone exchange. Integrated services digital network channels ands fixed wireless subscribers are included.,"International Telecommunication Union, World Telecommunication/ICT Development Report and database, and World Bank estimates.",World Bank (WDI),raw,,,,IT.MLT.MAIN.P2,,innovation
IQ.CPA.BREG.XQ,CPIA business regulatory environment rating (1=low to 6=high),CPIA business rating,,rating,"Business regulatory environment assesses the extent to which the legal, regulatory, and policy environments help or hinder private businesses in investing, creating jobs, and becoming more productive.","World Bank Group, CPIA database (http://www.worldbank.org/ida).",World Bank (WDI),raw,,,,IQ.CPA.BREG.XQ,,innovation
SI.POV.GAPS,Poverty gap at $1.25 a day PPP (percent),PG $1.25,,percent,"Poverty gap is the mean shortfall from the poverty line (counting the nonpoor as having zero shortfall), expressed as a percentage of the poverty line. This measure reflects the depth of poverty as well as its incidence.","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm).",World Bank (WDI),raw,,,,SI.POV.GAPS,,poverty
SI.POV.GAP2,Poverty gap at $2 a day PPP (percente),PG $2,,percent,"Poverty gap is the mean shortfall from the poverty line (counting the nonpoor as having zero shortfall), expressed as a percentage of the poverty line. This measure reflects the depth of poverty as well as its incidence.","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm).",World Bank (WDI),raw,,,,SI.POV.GAP2,,poverty
SI.POV.NAGP,Poverty gap at national poverty line (percent),PG national poverty line,,percent,Poverty gap at national poverty line is the mean shortfall from the poverty line (counting the nonpoor as having zero shortfall) as a percentage of the poverty line. This measure reflects the depth of poverty as well as its incidence.,Global Poverty Working Group. Data are based on World Bank's country poverty assessments and country Poverty Reduction Strategies.,World Bank (WDI),raw,,,,SI.POV.NAGP,,poverty
SI.POV.RUGP,Poverty gap at rural poverty line (percent),PG rural poverty line,,percent,Poverty gap at rural poverty line is the mean shortfall from the poverty line (counting the nonpoor as having zero shortfall) as a percentage of the national rural poverty line. This measure reflects the depth of poverty as well as its incidence.,Global Poverty Working Group. Data are based on World Bank's country poverty assessments and country Poverty Reduction Strategies.,World Bank (WDI),raw,,,,SI.POV.RUGP,,poverty
SI.POV.URGP,Poverty gap at urban poverty line (percent),PG urban poverty line,,percent,Poverty gap at urban poverty line is the mean shortfall from the poverty line (counting the nonpoor as having zero shortfall) as a percentage of the national urban poverty line. This measure reflects the depth of poverty as well as its incidence.,Global Poverty Working Group. Data are based on World Bank's country poverty assessments and country Poverty Reduction Strategies.,World Bank (WDI),raw,,,,SI.POV.URGP,,poverty
SI.POV.DDAY,Poverty headcount ratio at $1.25 a day PPP (percent of population),PHR $1.25,,percent,"Population below $1.25 a day is the percentage of the population living on less than $1.25 a day at 2005 international prices. As a result of revisions in PPP exchange rates, poverty rates for individual countries cannot be compared with poverty rates reported in earlier editions.","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm).",World Bank (WDI),raw,,,,SI.POV.DDAY,,poverty
SI.POV.2DAY,Poverty headcount ratio at $2 a day PPP (percent of population),PHR $2,,percent,"Population below $2 a day is the percentage of the population living on less than $2.00 a day at 2005 international prices. As a result of revisions in PPP exchange rates, poverty rates for individual countries cannot be compared with poverty rates reported in earlier editions.","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm).",World Bank (WDI),raw,,,,SI.POV.2DAY,,poverty
SI.POV.NAHC,Poverty headcount ratio at national poverty line (percent of population),PHR national poverty line,,percent,Poverty headcount ratio at national poverty line (% of population).,Global Poverty Working Group. Data are based on World Bank's country poverty assessments and country Poverty Reduction Strategies.,World Bank (WDI),raw,,,,SI.POV.NAHC,,poverty
SI.POV.RUHC,Poverty headcount ratio at rural poverty line (percent of rural population),PHR rural poverty line,,percent,Rural poverty rate is the percentage of the rural population living below the national rural poverty line.,Global Poverty Working Group. Data are based on World Bank's country poverty assessments and country Poverty Reduction Strategies.,World Bank (WDI),raw,,,,SI.POV.RUHC,,poverty
SI.POV.URHC,Poverty headcount ratio at urban poverty line (percent of urban population),PHR urban poverty line,,percent,Urban poverty rate is the percentage of the urban population living below the national urban poverty line.,Global Poverty Working Group. Data are based on World Bank's country poverty assessments and country Poverty Reduction Strategies.,World Bank (WDI),raw,,,,SI.POV.URHC,,poverty
SI.POV.GINI,GINI index,GINI,,index,"Gini index measures the extent to which the distribution of income (or, in some cases, consumption expenditure) among individuals or households within an economy deviates from a perfectly equal distribution. A Lorenz curve plots the cumulative percentages of total income received against the cumulative number of recipients, starting with the poorest individual or household. The Gini index measures the area between the Lorenz curve and a hypothetical line of absolute equality, expressed as a percentage of the maximum area under the line. Thus a Gini index of 0 represents perfect equality, while an index of 100 implies perfect inequality.","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm).",World Bank (WDI),raw,,,,SI.POV.GINI,,poverty
SI.DST.05TH.20,Income share held by highest 20% (percent),,,percent,Percentage share of income or consumption is the share that accrues to subgroups of population indicated by deciles or quintiles. Percentage shares by quintile may not sum to 100 because of rounding.,"World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm).",World Bank (WDI),raw,,,,SI.DST.05TH.20,,poverty
SI.DST.FRST.20,Income share held by lowest 20% (percent),,,percent,Percentage share of income or consumption is the share that accrues to subgroups of population indicated by deciles or quintiles. Percentage shares by quintile may not sum to 100 because of rounding.,"World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm).",World Bank (WDI),raw,,,,SI.DST.FRST.20,,poverty
SE.PRM.CMPT.ZS,"Primary completion rate, total (percent of relevant age group)",,,percent,"Primary completion rate is the percentage of students completing the last year of primary school. It is calculated by taking the total number of students in the last grade of primary school, minus the number of repeaters in that grade, divided by the total number of children of official graduation age.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",World Bank (WDI),raw,,,,SE.PRM.CMPT.ZS,,education
SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (percent of females ages 15 and above)",,,percent,"Adult literacy rate is the percentage of people ages 15 and above who can, with understanding, read and write a short, simple statement on their everyday life.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",World Bank (WDI),raw,,,,SE.ADT.LITR.FE.ZS,,education
SE.ENR.PRSC.FM.ZS,Ratio of girls to boys in primary and secondary education (percent),,,percent,Ratio of girls to boys in primary and secondary education is the percentage of girls to boys enrolled at primary and secondary levels in public and private schools.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",World Bank (WDI),raw,,,,SE.ENR.PRSC.FM.ZS,,education
SE.PRM.NENR.FE,"School enrollment, primary, female (percent net)",,,percent,"Net enrollment ratio is the ratio of children of official school age based on the International Standard Classification of Education 1997 who are enrolled in school to the population of the corresponding official school age. Primary education provides children with basic reading, writing, and mathematics skills along with an elementary understanding of such subjects as history, geography, natural science, social science, art, and music.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",World Bank (WDI),raw,,,,SE.PRM.NENR.FE,,education
SE.PRM.NENR.MA,"School enrollment, primary, male (percent net)",,,percent,"Net enrollment ratio is the ratio of children of official school age based on the International Standard Classification of Education 1997 who are enrolled in school to the population of the corresponding official school age. Primary education provides children with basic reading, writing, and mathematics skills along with an elementary understanding of such subjects as history, geography, natural science, social science, art, and music.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",World Bank (WDI),raw,,,,SE.PRM.NENR.MA,,education
SH.XPD.TOTL.ZS,"Health expenditure, total (percent of GDP)",,,percent,"Total health expenditure is the sum of public and private health expenditure. It covers the provision of health services (preventive and curative), family planning activities, nutrition activities, and emergency aid designated for health but does not include provision of water and sanitation.",World Health Organization National Health Account database (see http://apps.who.int/nha/database for the most recent updates).,World Bank (WDI),raw,,,,SH.XPD.TOTL.ZS,,health
EN.CLC.MDAT.ZS,"Droughts, floods, extreme temperatures (percent of population affected, average 1990-2009)",,,percent,"Droughts, floods and extreme temperatures is the annual average percentage of the population that is affected by natural disasters classified as either droughts, floods, or extreme temperature events.  A drought is an extended period of time characterized by a deficiency in a region's water supply that is the result of constantly below average precipitation. A drought can lead to losses to agriculture, affect inland navigation and hydropower plants, and cause a lack of drinking water and famine. A flood is a significant rise of water level in a stream, lake, reservoir or coastal region. Extreme temperature events are either cold waves or heat waves. A cold wave can be both a prolonged period of excessively cold weather and the sudden invasion of very cold air over a large area. Along with frost it can cause damage to agriculture, infrastructure, and property.  A heat wave is a prolonged period of excessively hot and sometimes also humid weather relative to normal climate patterns of a certain region. Population affected is the number of people injured, left homeless or requiring immediate assistance during a period of emergency resulting from a natural disaster; it can also include displaced or evacuated people. Average percentage of population affected is calculated by dividing the sum of total affected for the period stated by the sum of the annual population figures for the period stated.","EM-DAT: The OFDA/CRED International Disaster Database: www.emdat.be, Universite Catholique de Louvain, Brussels (Belgium), World Bank.",World Bank (WDI),raw,,,,EN.CLC.MDAT.ZS,,natural disasters
DA.DET.AV.IN.NO,Average dietary supply adequacy (index),Average dietary supply adequacy,,index,"The indicator expresses the Dietary Energy Supply (DES) as a percentage of the Average Dietary Energy Requirement (ADER) in the country. Each country's or region's average supply of calories for food consumption is normalized by the average dietary energy requirement estimated for its population, to provide an index of adequacy of the food supply in terms of calories. Analyzed together with the prevalence of undernourishment, it allows discerning whether undernourishment is mainly due to insufficiency of the food supply or to particularly bad distribution. The indicator is calculated as an average over 3 years to reduce the impact of possible errors in estimated DES, due to the difficulties in properly accounting of stock variations in major food. It thus provides an indicator of structural food supply adequacy.",FAO,"FAO, Statistics Division",raw,DA,6130,21010,,,undernourishment
DA.DET.FPI.I.NO,Value of food production per capita (I$/cap),Value of food production per capita,,I$/cap,"The total value of Annual Food Production, as estimated by FAO and published by FAOSTAT in International Dollars (I$) divided by the total population. It provides a cross country comparable measure of the relative economic size of the food production sector in the country. The indicator is calculated on 3 year averages.",FAO,"FAO, Statistics Division",raw,DA,6122,21011,,,undernourishment
DA.DET.ES.KCD.SH,"Share of energy supply derived from cereals, roots and tubers (percent)","Share of energy supply derived from cereals, roots and tubers",,percent,"Energy supply (in kcal/caput/day) provided by cereals, roots and tubers divided by total Dietary Energy Supply (DES) (in kcal/caput/day) calculated from the correponding categories in the FAOSTAT Food Balance Sheets. As other indicators based on Food Balance Sheets data, it is calculated on 3 year averages, to reduce the errors due to the difficulties in recording annual stock changes.",FAO,"FAO, Statistics Division",raw,DA,6121,21012,,,undernourishment
DA.DET.PS.GR.NO,Average protein supply (g/cap/day),Average protein supply,,g/cap/day,"National average protein supply (expressed in grams per caput per day). As other indicators based on Food balance Sheets data, it is calculated on 3 year averages, to reduce the impact of errors in recording of annual stock variations.",FAO,"FAO, Statistics Division",raw,DA,6123,21013,,,undernourishment
DA.DET.PS.GR.CH18,Relative change in average protein supply (percent),Relative change in average protein supply,,percent,See 'Average protein supply (g/cap/day)' and 'Change'.,,"FAO, Statistics Division",processed,,,,,,undernourishment
DA.DET.APS.GR.NO,Average supply of protein of animal origin (g/cap/day),Average supply of protein of animal origin,,g/cap/day,"National average protein supply (expressed in grams per caput per day). It includes the following groups: Meat; Offals; Animal Fats and Products; Milk and Products; Eggs, Fish, Seafood and Products; and Acquatic Products, other. The indicator is calculated on 3 year averages.",FAO,"FAO, Statistics Division",raw,DA,6123,21014,,,undernourishment
DA.DET.APS.GR.CH18,Relative change in the average protein supply from animal origin (percent),relative change in the average protein supply from animal origin,,percent,See 'Average supply of protein of animal origin (g/cap/day)' and 'Change'.,,"FAO, Statistics Division",processed,,,,,,undernourishment
DA.DET.FS.GR.NO,Average fat supply (g/cap/day),Average fat supply,,g/cap/day,National average fat supply (expressed in grams per caput per day). ,FAO,"FAO, Statistics Division",raw,,,,,,undernourishment
DA.DET.FS.GR.CH18,Relative change in the fat supply (percent),Average fat supply,,percent,See 'Average fat supply (g/cap/day)' and 'Change'.,,"FAO, Statistics Division",processed,,,,,,undernourishment
DE.DET.EA.IN.NO,Food Price Level Index (index),Food Price Level Index,,index,"The Domestic Food Price Level Index is calculated by dividing the  Food Purchasing Power Parity (FPPP) by the General PPP, thus proiding an index of the price of food in the country relative to the price of the generic cosnumption basket. Data are available for 2005 from the ICP Program . It is then extended to other years by adjusting both numerator and denominator using the relative chenges in Food CPI and General CPI as provided by ILO. ",ILO and World Bank ICP (International Comparison Project),"FAO, Statistics Division",raw,DE,6125,21018,,,undernourishment
DP.DET.PAPR.KM.SH,Percent of paved roads over total roads (percent),Percent of paved roads over total roads,,percent,"Paved roads are those surfaced with crushed stone (macadam) and hydrocarbon binder or bituminized agents, with concrete, or with cobblestones, as a percentage of all the country's roads, measured in length. Regional aggregates are computed as weighted average using total road network as weight. Because of the low coverage, missing values were interpolated using linear trend between two points or extrapolated backward and forward using the closest point. Note that regional aggregates were calculated only if countries for which data were available represented more than 70% of the total lenght of road network of the region they belong to. ","International Road Federation, World Road Statistics and electronic files, except where noted.","FAO, Statistics Division",raw,DP,6121,21015,,,undernourishment
DP.DET.PARLD.KM.SH,Rail-lines density (percent),Rail-lines density,,km per 100 square km of land area,"Rail lines density corresponds to the ratio between the length of railway route available for train service, irrespective of the number of parallel tracks (rail lines, total route in km) with the area of the country. Regional aggregates are computed as weighted average using surface area as weight. Because of the low coverage, missing values were interpolated using linear trend between two points or extrapolated backward and forward using closest point. Note that regional aggregates were calculated only if countries for which data were available represented more than 70% of the total area of the region they belong to. ","International Road Federation, World Road Statistics and electronic files, except where noted.","FAO, Statistics Division",raw,DP,6124,21016,,,undernourishment
DP.DET.PARD.KM.SH,Road density (percent),Road density,,km per 100 square km of land area,"Road density is the ratio of the length of the country's total road network to the country's land area. The road network includes all roads in the country: motorways, highways, main or national roads, secondary or regional roads, and other urban and rural roads. Regional aggregates are computed as weighted average using surface area as weight. Because of the low coverage, missing values were interpolated using linear trend between two points or extrapolated backward and forward using the closest point. Note that regional aggregates were calculated only if countries for which data were available represented more than 70% of the total area of the region they belong to. ","International Road Federation, World Road Statistics and electronic files, except where noted.","FAO, Statistics Division",raw,DP,6124,21017,,,undernourishment
DO.OUT.ACDFD.DP.NO,Depth of the food deficit (kcal/cap/day),Depth of the food deficit,,kcal/cap/day,"The depth of the food deficit indicates how many calories would be needed to lift the undernourished from their status, everything else being constant. The average intensity of food deprivation of the undernourished, estimated as the difference between the average dietary energy requirement and the average dietary energy consumption of the undernourished population (food-deprived), is multiplied by the number of undernourished to provide an estimate of the total food deficit in the country, which is then normalized by the total population. The indicator is calculated as an average over 3 years.",FAO,"FAO, Statistics Division",raw,DO,6130,21023,,,undernourishment
DO.OUT.ACPU.POP.NO,Prevalence of undernourishment (percent),Prevalence of undernourishment,,percent,"Proportion of the population estimated to be at risk of caloric inadequacy. This is the traditional FAO hunger indicator, adopted as official Millenium Development Goal indicator for goal 1, target 1.9. The indicator is calculated on 3 year averages.",FAO,"FAO, Statistics Division",raw,DO,6121,21021,,,undernourishment
DO.OUT.ACNU.POP.NO,"Number of people undernourished, total",Number of people undernourished,million,people,Estimated number of people at risk of undernourishment. It is calculated by applying the estimated prevalence of undernourishment to the total population in each period.,FAO,"FAO, Statistics Division",raw,,,,,,undernourishment
DO.OUT.ACPFI.POP.NO,Prevalence of food inadequacy (percent),Prevalence of food inadequacy,,percent,"It is conceptually analogous to the prevalence of undernourishment , but calculated setting the caloric threshold to a higher level, by using a Physical Activity Level (PAL) coefficient of 1.75, as opposed to 1.55. It measures the percentage of the population that is at risk of not covering the food requirements associated with normal physical activity, and therefore including also those who, even though cannot be considered chronically undernourished, are likely being conditioned in their economic activity by insufficient food. While the PoU is an estimator of chronic food deprivation (""hunger""), this new estimator is a less conservative measure of food inadequacy in the population. The indicator is calculated on 3 year averages.",FAO,"FAO, Statistics Division",raw,DO,6121,21024,,,undernourishment
DO.OUT.ACFEP.EXP.SH,Share of food expenditure of the poor (percent),Share of food expenditure of the poor ,,percent,Proportion of food consumption over total consumption (food and non-food) for the lowest income quintile of the population.,FAO,"FAO, Statistics Division",raw,DO,6121,21022,,,undernourishment
DU.DET.UTWR.POP.SH,Percentage of population with no reasonable access to improved water sources (percent),Percentage of population with no reasonable access to improved water sources,,percent,"Access to an improved water source refers to the percentage of the population with reasonable access to an adequate amount of water from an improved source, such as a household connection, public standpipe, borehole, protected well or spring, and rainwater collection. Unimproved sources include vendors, tanker trucks, and unprotected wells and springs. Reasonable access is defined as the availability of at least 20 liters a person a day from a source within one kilometer of the dwelling.",World Health Organization (WHO),"FAO, Statistics Division",raw,DU,6121,21019,,,undernourishment
DU.DET.UTSF.POP.SH,Percentage of population with no reasonable access to improved sanitation facilities (percent),Percentage of population with no reasonable access to improved sanitation facilities,,percent,"Access to improved sanitation facilities refers to the percentage of the population with at least adequate access to excreta disposal facilities that can effectively prevent human, animal, and insect contact with excreta. Improved facilities range from simple but protected pit latrines to flush toilets with a sewerage connection. To be effective, facilities must be correctly constructed and properly maintained.",World Health Organization (WHO),"FAO, Statistics Division",raw,DU,6121,21020,,,undernourishment
DT.OUT.UTST.POP.SH,Percentage of children under 5 years of age who are stunted (percent),Percentage of children under 5 years of age who are stunted,,percent,Percentage of stunting (height-for-age less than -2 standard deviations of the WHO Child Growth Standards median) among children aged 0-5 years.,World Health Organization (WHO),"FAO, Statistics Division",raw,DT,6121,21025,,,undernourishment
DT.OUT.UTWA.POP.SH,Percentage of children under 5 years of age who are wasted (percent),Percentage of children under 5 years of age who are wasted,,percent,Percentage of (weight-for-height less than -2 standard deviations of the WHO Child Growth Standards median) among children aged 0-5 years.,World Health Organization (WHO),"FAO, Statistics Division",raw,DT,6121,21026,,,undernourishment
DT.OUT.UTUN.POP.SH,Percentage of children under 5 years of age who are underweight (percent),Percentage of children under 5 years of age who are underweight ,,percent,Percentage of underweight (weight-for-age less than -2 standard deviations of the WHO Child Growth Standards median) among children aged 0-5 years.,World Health Organization (WHO),"FAO, Statistics Division",raw,DT,6121,21027,,,undernourishment
DT.OUT.UTAUN.POP.SH,Percent of adults who are underweight (percent),Percent of adults who are underweight ,,percent,"Percentage of adults who are underweight, as defined by a Body Mass Index (BMI) below the international reference standard of 18.5. To calculate an individual's BMI, weight and height data are need.  The BMI is weight (kg) divided by squared height (m).",World Health Organization (WHO),"FAO, Statistics Division",raw,DT,6121,21028,,,undernourishment
